0093 093 MONROE TWP 2,266,50.76,235,44.85
0094 094 ROCK CREEK VILL,114,52.78,95,43.98
0095 095 MORGAN TWP,192,43.15,236,53.03
0096 096 NEW LYME TWP,228,46.15,250,50.61
0097 097 N KINGSVILLE VILL 1,306,54.26,246,43.62
0098 098 N KINGSVILLE VILL 2,242,52.61,210,45.65
0099 099 N KINGSVILLE VILL 3,145,53.90,117,43.49
0100 100 N KINGSVILLE VILL 4,178,62.02,103,35.89
0101 101 ORWELL VILL,316,54.39,246,42.34
0102 102 ORWELL TWP,249,43.53,307,53.67
0103 103 PIERPONT TWP,225,40.39,312,56.01
0104 104 PLYMOUTH TWP 1,216,53.47,185,45.79
0105 105 PLYMOUTH TWP 2,199,49.50,189,47.01
0106 106 PLYMOUTH TWP 3,171,56.07,128,41.97
0107 107 RICHMOND TWP,196,47.69,203,49.39
0108 108 ROAMING SHORES VILL,332,43.51,423,55.44
0109 109 ROME TWP,234,50.65,210,45.45
0110 110 SAYBROOK TWP 1,149,46.13,162,50.15
0111 111 SAYBROOK TWP 2,263,66.41,117,29.55
0112 112 SAYBROOK TWP 3,207,61.61,121,36.01
0113 113 SAYBROOK TWP 4,244,53.16,203,44.23
0114 114 SAYBROOK TWP 5,272,60.31,167,37.03
0115 115 SAYBROOK TWP 6,132,50.97,126,48.65
0116 116 SAYBROOK TWP 7,193,53.61,159,44.17
0117 117 SAYBROOK TWP 8,189,57.45,134,40.73
0118 118 SAYBROOK TWP 9,187,61.72,111,36.63
0119 119 SHEFFIELD TWP 1,191,57.53,132,39.76
0120 120 SHEFFIELD TWP 2,229,53.01,193,44.68
0121 121 TRUMBULL TWP 1,140,38.46,217,59.62
0122 122 TRUMBULL TWP 2,208,51.61,189,46.90
0123 123 WAYNE TWP,115,42.28,149,54.78
0124 124 WILLIAMSFIELD TWP 1,114,42.07,147,54.24
0125 125 WILLIAMSFIELD TWP 2,182,48.79,187,50.13
0126 126 WINDSOR TWP 1,181,43.61,222,53.49
0127 127 WINDSOR TWP 2,109,45.42,123,51.25
