132,33.76
87,30.96
58,28.16
85,29.51
138,36.22
110,37.80
79,32.78
67,23.67
85,30.14
76,23.82
69,27.94
89,32.25
63,23.95
35,21.88
65,22.73
54,21.60
30,9.55
45,21.33
71,26.20
108,37.50
96,32.21
79,37.26
60,27.52
49,20.68
68,29.96
119,40.20
67,23.84
109,37.33
115,40.35
92,32.06
97,40.93
179,35.87
100,33.22
141,41.47
224,46.96
111,37.63
144,38.50
92,27.71
127,30.75
90,28.85
65,29.28
83,29.43
62,28.44
158,43.77
77,37.20
162,39.71
168,38.18
107,39.78
91,34.60
171,41.40
187,46.17
91,42.13
117,53.67
208,46.53
203,55.01
143,36.20
174,49.15
96,29.45
90,30.93
174,39.55
98,31.92
107,40.68
136,36.17
342,51.58
281,46.99
194,52.15
202,51.01
167,40.93
202,51.93
73,40.33
115,34.53
166,39.81
188,47.72
181,42.29
123,38.56
236,53.76
285,51.35
222,48.37
237,57.11
162,58.06
156,48.75
141,52.42
181,44.04
251,51.33
182,49.73
146,47.10
208,52.13
218,48.99
213,45.91
198,54.70
181,49.73
271,47.88
235,44.85
95,43.98
236,53.03
250,50.61
246,43.62
210,45.65
117,43.49
103,35.89
246,42.34
307,53.67
312,56.01
185,45.79
189,47.01
128,41.97
203,49.39
423,55.44
210,45.45
162,50.15
117,29.55
121,36.01
203,44.23
167,37.03
126,48.65
159,44.17
134,40.73
111,36.63
132,39.76
193,44.68
217,59.62
189,46.90
149,54.78
147,54.24
187,50.13
222,53.49
123,51.25
