251,64.19
190,67.62
144,69.90
196,68.06
236,61.94
177,60.82
160,66.39
212,74.91
191,67.73
231,72.41
171,69.23
179,64.86
198,75.29
122,76.25
214,74.83
191,76.40
282,89.81
160,75.83
189,69.74
171,59.38
199,66.78
128,60.38
153,70.18
183,77.22
151,66.52
177,59.80
212,75.44
177,60.62
167,58.60
186,64.81
132,55.70
309,61.92
188,62.46
189,55.59
245,51.36
179,60.68
223,59.63
232,69.88
272,65.86
213,68.27
157,70.72
185,65.60
149,68.35
196,54.29
123,59.42
234,57.35
259,58.86
151,56.13
165,62.74
229,55.45
214,52.84
119,55.09
100,45.87
231,51.68
156,42.28
246,62.28
177,50.00
226,69.33
190,65.29
258,58.64
203,66.12
153,58.17
231,61.44
305,46.00
310,51.84
165,44.35
180,45.45
223,54.66
176,45.24
104,57.46
212,63.66
240,57.55
199,50.51
235,54.91
192,60.19
191,43.51
262,47.21
224,48.80
162,39.04
106,37.99
155,48.44
124,46.10
218,53.04
230,47.03
169,46.17
158,50.97
185,46.37
216,48.54
239,51.51
148,40.88
170,46.70
283,50.00
266,50.76
114,52.78
192,43.15
228,46.15
306,54.26
242,52.61
145,53.90
178,62.02
316,54.39
249,43.53
225,40.39
216,53.47
199,49.50
171,56.07
196,47.69
332,43.51
234,50.65
149,46.13
263,66.41
207,61.61
244,53.16
272,60.31
132,50.97
193,53.61
189,57.45
187,61.72
191,57.53
229,53.01
140,38.46
208,51.61
115,42.28
114,42.07
182,48.79
181,43.61
109,45.42
