County,Sanders_Bernie,Clinton_Hillary,O'Malley_Martin,De La Fuente_Rocky,Carson_Ben,Fiorina_Carly,Christie_Chris,Trump_Donald,Bush_Jeb,Gilmore_Jim,Kasich_John,Rubio_Marco,Huckabee_Mike,Paul_Rand,Santorum_Rick,Cruz_Ted
Union,5606,7707,119,39,275,15,42,12727,77,4,3754,2509,67,60,20,12421
Vance,2013,4585,99,38,20,4,1,1021,16,0,115,120,5,4,0,699
Wake,65697,78229,784,213,717,120,132,35320,360,24,21760,12420,190,334,63,48703
Warren,1039,3020,71,23,9,0,0,586,2,0,102,61,3,1,2,331
Washington,599,1377,59,17,9,0,0,284,1,0,38,33,1,3,0,343
Watauga,5811,2514,50,6,95,10,11,2321,30,1,1065,924,31,40,4,2719
Wayne,3603,7590,171,61,126,6,11,4977,37,4,753,738,24,24,10,4942
Wilkes,1794,2119,69,16,104,5,17,5916,47,5,1040,646,50,24,8,4750
Wilson,2950,6437,129,41,62,6,11,3149,28,1,562,416,11,8,3,3401
Yadkin,791,833,19,7,74,4,10,3447,31,0,640,285,25,17,5,3191
Yancey,1403,1152,36,6,36,1,2,1188,16,0,285,166,21,8,0,1161
