Precinct Name,Carson_Ben,Fiorina_Carly,Christie_Chris,Trump_Donald,Bush_Jeb,Gilmore_Jim,Kasich_John,Graham_Lindsey,Rubio_Marco,Huckabee_Mike,Cruz_Ted,Paul_Rand,Santorum_Rick,Sanders_Bernie,Clinton_Hillary,O'Malley_Martin,
304 - MOUNT OLIVET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
305 - MOUNTAIN VALLEY,12,0,1,93,0,0,2,0,25,1,24,0,0,13,69,1,
401 - COLLINSVILLE NUMBER 1,18,0,0,108,0,0,8,0,40,0,36,0,0,10,29,0,
402 - DANIELS CREEK,16,0,0,112,1,1,4,0,38,0,29,0,0,22,38,0,
404 - COLLINSVILLE NUMBER 2,42,0,0,161,1,0,19,0,95,3,72,1,0,33,88,1,
405 - MOUNTAIN VIEW,14,0,0,95,0,0,4,0,34,0,26,1,0,29,79,0,
501 - BASSETT NUMBER ONE,9,0,0,71,0,0,4,0,37,1,24,0,0,34,60,1,
502 - FIGSBORO,14,0,0,118,1,0,5,0,58,0,50,0,0,24,46,1,
503 - STANLEYTOWN,33,1,1,223,2,0,14,0,71,0,84,0,0,43,34,2,
504 - OAK LEVEL,10,0,0,67,0,0,5,0,24,0,30,1,0,11,32,0,
505 - DYERS STORE,0,0,0,16,0,0,1,0,4,0,1,0,0,0,2,0,
601 - FONTAINE,30,0,0,147,0,0,17,1,62,1,58,1,0,29,70,1,
602 - HILLCREST,9,0,0,43,0,0,4,0,21,1,22,0,0,12,37,0,
603 - RIDGEWAY #1,26,0,0,194,0,0,4,0,66,1,75,0,0,34,56,2,
604 - RIDGEWAY #2,25,0,0,125,0,0,11,0,77,0,73,1,0,25,48,0,
001 - MONTEREY,10,0,0,43,0,0,8,0,23,1,26,0,1,35,24,0,
003 - WILSONS MILL,0,0,0,12,0,0,1,0,6,0,10,0,0,8,8,0,
005 - BLUE GRASS,4,0,0,31,0,0,7,0,21,0,13,0,1,17,20,0,
007 - MILL GAP,2,0,0,21,0,0,5,0,16,0,10,0,0,11,8,0,
008 - MCDOWELL,5,0,0,34,0,1,4,0,22,0,19,0,0,13,21,0,
010 - HEADWATERS,2,0,0,23,0,0,0,0,2,0,9,0,0,4,5,0,
101 - SMITHFIELD,53,0,0,306,4,1,85,0,311,2,124,1,0,117,209,1,
102 - CYPRESS CREEK,47,0,2,232,2,1,61,1,204,0,103,3,0,102,210,0,
201 - BARTLETT,40,0,0,308,1,0,68,0,296,2,108,0,0,110,220,1,
202 - CARROLLTON,68,0,1,305,4,1,40,1,250,3,110,0,0,109,259,1,
301 - RUSHMERE,22,0,0,177,3,0,13,0,118,0,61,0,0,74,365,2,
302 - PONS,25,0,0,137,0,0,10,0,79,0,43,1,0,69,414,2,
402 - WINDSOR,34,0,1,193,3,1,17,0,148,0,44,1,0,59,159,1,
403 - LONGVIEW,27,0,0,159,0,0,16,0,112,0,49,0,1,54,137,0,
501 - WALTERS,7,0,0,136,0,0,10,0,66,0,48,2,0,17,55,1,
502 - CAMPS MILL,9,0,0,37,0,0,0,0,16,0,11,0,1,7,93,0,
503 - CARRSVILLE,9,0,1,68,1,0,8,0,27,1,22,1,0,26,74,1,
504 - ZUNI,24,0,0,189,0,0,16,1,85,1,43,1,0,32,94,2,
505 - RAYNOR,2,0,0,91,0,0,4,0,38,0,24,1,0,23,51,0,
101 - BERKELEY A,88,1,1,315,5,0,191,2,514,0,176,4,1,249,428,6,
102 - BERKELEY B,40,1,0,180,2,0,62,0,210,0,108,1,2,167,214,2,
103 - BERKELEY C,71,0,1,407,3,0,317,0,658,0,167,2,0,149,359,5,
201 - JAMESTOWN A,16,0,0,59,0,0,20,0,97,0,36,0,0,92,124,2,
202 - JAMESTOWN B,46,0,0,187,3,0,111,0,224,1,78,3,0,237,332,2,
203 - JAMESTOWN C,45,0,0,201,3,1,128,2,329,0,109,2,1,136,262,5,
204 - JAMESTOWN D,56,0,3,326,4,0,251,2,594,1,134,1,0,153,362,2,
301 - POWHATAN A,50,0,0,333,3,0,269,0,499,3,134,3,0,145,348,1,
302 - POWHATAN B,14,1,0,67,1,0,16,0,77,0,32,1,0,73,133,3,
303 - POWHATAN C,19,0,1,152,1,0,30,0,107,0,59,1,0,48,82,1,
304 - POWHATAN D,38,0,0,175,0,0,76,0,269,1,109,0,2,170,350,3,
401 - STONEHOUSE A,80,1,2,288,5,1,61,1,259,0,152,3,1,170,283,2,
402 - STONEHOUSE B,57,1,0,388,5,3,173,0,437,3,172,3,0,206,455,5,
403 - STONEHOUSE C,46,1,0,288,4,1,115,1,329,2,174,2,0,138,233,1,
501 - ROBERTS A,17,0,1,73,1,0,11,0,31,0,19,0,0,96,262,0,
502 - ROBERTS B,42,1,0,399,1,0,270,1,523,0,91,0,0,132,284,1,
503 - ROBERTS C,9,0,0,29,0,1,3,1,19,0,17,1,0,51,77,0,
504 - ROBERTS D,56,0,3,211,5,2,180,1,381,1,120,3,0,192,370,3,
101 - OWENTON,10,0,0,56,1,0,3,0,17,1,25,0,0,11,122,2,
201 - CLARKS,14,0,0,83,1,0,15,0,32,1,42,0,0,27,80,0,
301 - SHACKLEFORDS,6,0,1,98,0,0,6,0,51,0,16,0,0,18,99,1,
501 - OLDMILL,17,0,1,95,0,0,7,0,41,0,26,0,0,22,43,0,
101 - COURTHOUSE,76,0,0,244,4,1,40,1,218,3,129,2,0,94,128,2,
102 - PASSAPATANZY,26,0,1,128,1,0,16,0,68,1,67,0,0,57,87,0,
201 - MONROE,104,0,0,398,2,1,92,0,319,2,218,1,1,150,185,6,
301 - DAHLGREN,63,1,1,277,1,0,61,0,204,1,142,5,0,153,267,6,
401 - SHILOH,93,0,2,350,4,1,49,0,188,1,181,2,1,134,228,1,
101 - WEST POINT,41,1,1,220,3,1,26,1,117,3,72,2,1,84,145,5,
201 - SWEET HALL,17,0,0,84,0,0,10,0,43,0,35,0,0,7,67,1,
202 - COURTHOUSE,17,0,0,104,0,0,5,1,68,0,65,0,0,46,144,2,
301 - AYLETT,23,0,0,242,1,0,13,0,143,0,153,6,0,67,107,1,
401 - MANQUIN,36,0,2,236,2,0,14,0,134,1,160,3,0,50,129,2,
501 - MANGOHICK,25,0,2,231,2,0,15,0,130,1,149,2,0,53,239,2,
302 - PRECINCT 3-2,16,0,0,72,0,0,27,0,52,0,7,1,0,21,33,1,
401 - PRECINCT 4-1,13,0,0,107,1,1,14,0,66,0,15,0,0,47,226,1,
501 - PRECINCT 5-1,38,0,2,206,1,0,83,0,169,0,34,2,0,59,140,2,
101 - ELYDALE,11,0,1,55,1,0,5,0,23,0,12,0,0,9,22,0,
102 - EWING,2,0,0,71,1,0,2,0,24,0,20,0,0,12,17,1,
103 - ROSE HILL,10,0,0,50,0,0,3,0,19,0,21,0,0,8,27,1,
201 - BLACKWATER,1,0,0,18,0,0,1,0,3,0,20,1,0,4,12,0,
