Precinct Name,Carson_Ben,Fiorina_Carly,Christie_Chris,Trump_Donald,Bush_Jeb,Gilmore_Jim,Kasich_John,Graham_Lindsey,Rubio_Marco,Huckabee_Mike,Cruz_Ted,Paul_Rand,Santorum_Rick,Sanders_Bernie,Clinton_Hillary,O'Malley_Martin,
002 - RADIANT,40,0,0,108,2,0,15,0,67,1,66,0,0,43,116,0,
003 - ROCHELLE,15,1,0,80,1,0,15,0,32,0,51,0,1,31,38,1,
004 - GRAVES MILL,3,0,0,15,0,0,5,0,5,0,7,0,1,7,1,0,
005 - MADISON,47,0,0,158,0,0,28,1,83,2,70,0,0,71,80,0,
006 - WOLFTOWN,17,0,0,96,0,0,12,0,40,2,36,1,0,42,56,0,
007 - BRIGHTWOOD,60,1,1,190,1,0,19,0,73,1,97,0,0,60,74,0,
008 - CRIGLERSVILLE,13,0,0,90,0,0,16,0,38,1,45,0,0,38,32,0,
009 - ETLAN,9,0,2,53,0,0,11,0,24,0,27,0,0,28,14,0,
001 - CHESAPEAKE,30,0,2,203,3,1,27,1,102,0,47,0,0,54,82,0,
002 - WESTVILLE,38,0,0,266,1,0,37,1,166,0,85,0,0,82,146,2,
003 - PIANKATANK,52,2,1,254,4,1,50,1,193,0,121,1,0,98,176,4,
101 - WRIGHTS STORE,10,0,1,40,0,0,9,0,21,0,23,0,0,7,94,0,
102 - PEARSONS STORE,6,0,0,34,0,0,8,0,12,0,8,0,0,5,17,0,
103 - SOUTH CLARKSVILLE,14,0,0,83,0,0,6,0,23,0,21,0,0,28,130,0,
201 - BOYDTON,7,0,1,62,0,0,4,0,23,0,18,0,0,11,64,0,
202 - BLUESTONE SENIOR HIGH SCHOOL,2,0,0,18,1,0,0,0,2,0,3,0,0,11,24,0,
203 - CHASE CITY VFW POST,5,0,0,27,0,0,0,0,9,0,10,0,0,13,101,0,
301 - BRACEY,16,0,0,111,2,0,18,0,72,0,39,1,0,32,62,1,
302 - LACROSSE,12,0,0,59,1,0,5,0,15,2,13,0,0,13,81,0,
401 - AMERICAN LEGION HALL,10,0,0,84,0,0,4,0,26,0,20,0,1,29,253,1,
402 - PARK VIEW MIDDLE SCHOOL,1,0,0,5,0,0,0,0,4,0,9,0,0,8,39,0,
501 - SOUTH HILL,37,0,1,154,2,0,28,0,111,1,26,1,0,41,135,0,
601 - BASKERVILLE,4,0,0,58,0,0,4,0,21,0,20,0,0,15,62,1,
602 - UNION LEVEL,5,0,0,47,0,0,2,0,23,1,10,1,0,9,8,1,
603 - SMITH CROSSROADS,8,0,0,19,0,0,1,0,14,0,10,1,0,4,28,1,
604 - LAKE GASTON,5,0,1,50,1,0,3,0,13,0,11,0,0,9,36,0,
701 - CHASE CITY,5,0,1,84,1,0,1,0,31,0,12,1,0,21,72,0,
702 - SUNSHINE,8,0,0,64,0,0,4,0,28,0,22,0,0,11,60,1,
801 - FINCHLEY,2,0,0,24,0,0,2,0,14,0,12,0,0,6,28,0,
802 - BLUESTONE,12,0,0,116,0,0,7,0,37,2,28,1,0,26,74,1,
803 - CHASE CITY ELEMENTARY SCHOOL,5,0,0,53,0,0,5,0,22,0,13,1,0,13,52,0,
901 - AVERETT,5,0,0,35,1,0,5,0,10,0,13,0,0,5,4,0,
902 - BUFFALO SPRINGS,13,0,0,51,1,0,5,0,26,0,19,0,0,3,17,2,
903 - CLARKSVILLE,24,0,0,214,0,0,37,1,97,0,63,3,0,50,85,2,
101 - SALUDA,8,0,0,59,0,0,12,0,28,0,5,0,0,33,42,0,
102 - URBANNA,13,0,0,117,1,0,25,0,81,0,21,1,0,43,42,0,
201 - NEW MARKET,28,0,0,264,1,2,34,1,128,1,47,0,0,49,83,1,
301 - WATERVIEW,9,0,0,56,0,0,7,0,18,1,12,3,0,17,50,0,
302 - CHURCH VIEW,12,0,0,77,1,0,5,0,19,0,13,0,0,22,93,0,
401- HARMONY VILLAGE,14,1,0,145,1,0,17,0,80,1,36,2,0,55,127,0,
501 - WILTON,34,1,1,211,2,0,24,1,137,2,47,0,0,63,97,1,
101 - PRECINCT A-1,41,0,0,153,1,0,86,0,214,1,100,0,1,273,273,1,
102 - PRECINCT A-2,23,0,1,44,3,0,66,0,125,0,34,3,0,384,235,1,
103 - PRECINCT A-3,57,2,0,129,2,1,100,0,256,2,69,3,0,516,347,1,
201 - PRECINCT B-1,4,0,0,20,0,0,3,0,19,0,13,1,0,32,20,0,
202 - PRECINCT B-2,62,1,0,191,4,1,34,0,144,1,117,6,0,246,187,4,
203 - PRECINCT B-3,33,0,0,158,5,0,33,0,114,0,81,1,0,110,105,1,
204 - PRECINCT B-4,68,0,0,229,5,0,46,0,289,4,134,4,0,241,218,2,
301 - PRECINCT C-1,32,0,0,234,1,0,13,0,89,1,95,1,0,78,84,0,
302 - PRECINCT C-2,55,0,0,234,1,1,36,0,114,2,127,0,0,130,94,1,
303 - PRECINCT C-3,15,0,0,106,0,0,8,0,31,3,35,0,0,31,23,1,
304 - PRECINCT C-4,38,0,1,188,3,0,20,0,122,1,87,3,0,118,92,1,
401 - PRECINCT D-1,32,0,0,120,4,0,24,0,88,1,63,0,0,64,85,0,
402 - PRECINCT D-2,77,0,0,209,0,0,29,0,109,2,105,1,0,69,81,0,
403 - PRECINCT D-3,32,0,0,174,0,0,11,0,75,2,73,0,0,79,74,2,
404 - PRECINCT D-4,14,0,0,105,0,0,10,0,46,1,45,1,0,46,54,1,
405 - PRECINCT D-5,61,1,1,243,1,0,41,0,141,0,83,3,0,179,120,0,
501 - PRECINCT E-1,38,0,0,155,1,0,45,1,136,2,56,3,0,249,200,2,
502 - PRECINCT E-2,29,0,0,150,2,0,27,0,93,0,50,2,0,134,97,0,
503 - PRECINCT E-3,10,0,0,17,0,0,13,1,111,0,17,3,0,300,49,1,
601 - PRECINCT F-1,40,0,0,75,3,0,58,0,209,0,56,2,0,410,289,2,
602 - PRECINCT F-2,21,3,0,53,0,0,56,0,183,0,44,0,0,328,216,1,
603 - PRECINCT F-3,4,0,0,11,0,0,6,0,65,0,19,0,0,64,9,0,
701 - PRECINCT G-1,39,1,1,108,2,0,81,0,233,1,102,4,0,516,351,2,
702 - PRECINCT G-2,11,1,1,36,2,0,18,0,110,0,25,3,0,375,104,2,
101 - ROCKFISH,25,0,0,146,0,0,23,0,100,1,110,1,0,223,185,3,
201 - LOVINGSTON,14,0,0,117,0,0,7,0,35,0,41,2,0,96,118,0,
202 - SCHUYLER,6,0,0,58,0,0,7,0,22,0,17,0,0,44,71,2,
301 - SHIPMAN,13,0,1,115,1,0,6,0,49,1,74,1,0,92,140,0,
302 - GLADSTONE,4,0,0,15,0,0,0,0,7,0,13,0,0,6,19,0,
401 - ROSELAND,28,0,0,147,0,0,28,0,99,1,83,1,0,77,127,2,
402 - MONTEBELLO,8,0,0,14,0,0,2,0,6,0,5,0,0,7,8,1,
501 - FABER,8,0,0,52,1,0,14,0,33,0,39,0,0,65,76,1,
502 - NELLYSFORD,16,0,0,119,3,1,98,0,162,1,54,3,0,122,210,1,
102 - TUNSTALL,13,0,0,68,2,0,6,0,55,0,48,2,0,17,37,1,
103 - SOUTHERN BRANCH,41,2,0,225,1,1,33,0,147,1,137,0,0,46,73,0,
201 - QUINTON,35,0,0,212,0,0,48,0,157,2,135,0,0,56,140,0,
202 - KENTWOOD,28,0,0,182,1,0,13,0,114,1,78,1,0,33,53,0,
301 - WATKINS,18,0,0,132,1,0,12,0,77,0,49,1,0,35,163,1,
302 - CUMBERLAND,38,0,0,150,1,0,15,0,86,0,87,0,0,54,116,3,
401 - PROVIDENCE FORGE,44,0,0,238,0,0,62,1,186,0,108,0,0,68,141,1,
403 - MOUNTCASTLE,15,0,0,106,0,0,14,0,38,0,40,0,0,43,48,1,
501 - ELTHAM,24,0,0,105,0,0,15,0,76,2,54,0,0,39,83,2,
502 - CHICKAHOMINY RIVER,58,0,0,184,1,0,25,0,103,0,71,0,0,43,67,0,
101 - 1A,24,0,0,172,0,1,29,0,96,4,24,0,0,39,108,1,
201 - 2A,31,0,0,203,1,0,39,0,132,0,39,0,0,33,126,1,
301 - 3A,15,0,0,65,0,0,8,0,38,1,11,2,0,25,174,1,
302 - 3B,6,0,0,21,0,0,0,0,11,0,4,0,0,8,97,1,
401 - 4A,45,1,2,245,2,1,85,0,224,0,83,0,0,73,144,2,
501 - 5A,40,0,0,322,2,0,49,0,168,0,63,2,0,74,140,2,
102 - PRECINCT 1-2,17,0,1,77,2,0,2,0,38,0,28,2,0,11,65,0,
202 - PRECINCT 2-2,21,0,0,87,0,0,4,0,19,0,26,0,0,13,42,1,
402 - PRECINCT 4-2,23,0,0,89,0,0,3,0,30,0,37,2,0,11,59,0,
101 - ONE WEST,20,0,0,193,3,0,65,0,151,0,125,1,0,79,149,2,
102 - ONE EAST,42,0,2,188,2,0,30,1,91,0,99,0,0,95,158,1,
201 - TWO WEST,34,0,1,225,1,0,18,0,87,2,105,0,0,61,102,2,
202 - TWO EAST,28,1,0,220,2,0,17,0,88,2,85,1,0,66,63,0,
301 - THREE WEST,49,1,1,190,1,0,41,0,138,0,75,1,0,117,193,0,
302 - THREE EAST,16,0,0,84,2,0,16,0,41,0,49,0,0,47,48,2,
401 - FOUR WEST,44,0,1,290,0,0,14,0,98,1,109,1,1,45,93,1,
402 - FOUR EAST,44,0,1,214,2,0,36,0,100,0,105,2,0,89,111,2,
501 - FIVE SOUTH,51,1,0,274,1,1,87,0,192,0,84,1,0,128,194,2,
502 - FIVE NORTH,52,3,4,297,1,0,115,0,263,1,101,5,2,115,181,4,
101 - WEST LURAY,36,0,0,231,0,0,33,2,118,0,75,3,1,100,118,1,
201 - EAST LURAY,50,1,0,265,1,0,40,0,176,1,107,0,0,90,93,2,
301 - MARKSVILLE,39,0,0,296,2,1,16,0,76,1,86,2,0,63,81,0,
401 - NEWPORT,28,1,0,233,0,0,17,1,68,2,69,1,1,44,48,0,
501 - SHENANDOAH,40,0,0,325,2,0,17,0,100,1,81,0,0,49,49,0,
101 - ARARAT,12,0,1,76,0,0,2,0,23,0,25,1,0,13,37,0,
102 - CLAUDVILLE,8,0,0,87,0,0,4,0,32,1,39,0,0,15,21,2,
103 - WILLIS GAP,19,0,1,107,0,0,1,0,11,0,38,0,0,14,26,1,
201 - DRY POND,14,0,0,36,1,0,3,0,16,0,32,1,0,10,10,1,
202 - PATRICK SPRINGS,30,1,1,120,0,0,10,0,44,1,53,1,0,36,45,0,
203 - RUSSELL CREEK,19,1,0,75,1,0,4,0,30,1,42,0,0,27,23,1,
301 - CRITZ/STELLA,24,0,1,113,0,0,7,1,42,1,82,0,0,29,42,0,
302 - LIBERTY,23,0,0,86,0,0,4,0,34,0,45,0,0,17,8,0,
401 - MEADOWS OF DAN,20,0,0,90,0,0,9,0,25,0,42,0,0,60,35,0,
402 - STUART ADMINISTRATION,23,0,3,110,0,0,20,0,53,0,53,2,1,40,32,0,
501 - STUART COMMUNITY,12,0,0,49,0,0,5,0,30,0,37,0,0,16,18,0,
502 - ELAMSVILLE,14,0,0,84,0,0,2,0,21,0,34,0,0,44,27,1,
503 - WOOLWINE,16,0,0,124,1,0,13,0,37,1,49,0,0,40,29,0,
103 - TWIN SPRINGS,91,0,1,387,0,0,35,0,190,0,165,2,0,48,72,0,
105 - CHATHAM,34,0,0,116,0,0,12,0,62,1,51,1,0,55,62,0,
106 - TUNSTALL,36,0,0,150,0,0,10,0,48,0,51,0,0,29,57,0,
108 - WEST BLAIRS,19,0,0,108,1,0,4,0,32,0,48,0,0,15,62,0,
201 - CALLANDS,25,0,0,156,0,1,4,0,41,0,48,0,0,26,46,2,
202- BEARSKIN,8,0,0,38,0,0,0,0,9,1,13,0,0,8,31,2,
204 - SANDY LEVEL,26,1,0,109,0,0,11,0,31,0,35,0,0,23,29,0,
206 - CLIMAX,20,0,0,75,0,0,3,0,40,0,42,0,0,20,20,1,
207 - GRETNA,46,0,0,289,0,0,12,0,92,0,95,1,0,22,101,0,
301 - CENTRAL,14,0,0,49,0,0,4,0,22,0,29,1,0,19,154,2,
305 - RICEVILLE,8,0,0,57,0,0,2,1,32,0,25,0,0,16,126,1,
307 - EAST BLAIRS,13,0,0,46,0,0,1,0,9,0,17,0,0,24,230,1,
308 - MT AIRY,9,0,0,30,0,0,1,0,11,0,19,0,0,11,68,1,
309 - EAST GRETNA,13,0,1,49,1,0,3,0,19,1,22,0,0,15,43,0,
402 - KEELING,33,0,0,193,2,0,6,0,48,0,64,1,0,15,38,1,
404 - KENTUCK,39,0,0,254,0,1,14,0,96,1,120,1,0,43,117,0,
405 - RINGGOLD,38,0,0,271,0,1,8,0,87,1,112,3,0,28,142,1,
501 - HURT,41,0,0,235,0,0,7,0,73,3,66,0,0,44,75,0,
502 - MOTLEY SYCAMORE,41,0,0,219,0,0,10,0,47,0,80,1,0,41,104,2,
503 - RENAN,21,0,0,140,0,0,2,0,29,1,37,0,0,16,36,0,
603 - STONY MILL,23,0,0,169,1,1,9,0,53,2,71,1,0,16,83,0,
604 - SWANSONVILLE,18,0,0,142,0,0,7,0,27,1,52,1,0,27,101,0,
605 - WHITMELL,20,0,0,154,0,0,1,0,35,1,43,0,0,22,79,0,
606 - BROSVILLE,14,0,0,108,0,1,2,0,28,0,34,0,0,29,167,0,
607 - DRY FORK,10,1,0,56,0,0,2,1,23,0,41,1,0,15,15,0,
702 - BACHELORS HALL,42,0,0,230,0,0,18,0,87,1,110,1,0,28,56,1,
703 - FERRY ROAD,10,0,0,41,0,0,3,0,6,0,21,0,0,12,19,0,
704 - MT HERMON,72,0,0,270,1,0,24,0,122,1,129,0,0,51,148,2,
705 - MT CROSS,37,1,1,157,0,0,9,0,47,0,57,0,0,24,40,0,
101 - SUBLETTS,46,0,2,296,5,2,54,0,248,3,190,3,0,73,100,1,
102 - MANAKIN,18,2,0,197,2,0,50,0,243,0,72,1,0,41,74,1,
103 - FLAT ROCK,24,0,0,166,2,0,20,0,111,0,90,1,0,43,50,0,
201 - POWHATAN STATION,32,0,0,257,1,0,28,0,147,0,136,0,0,43,68,0,
202 - GRACELAND,49,1,1,298,1,0,27,0,199,0,155,0,0,70,95,0,
301 - BETHESDA,35,0,0,258,0,1,25,0,139,1,128,2,0,55,90,1,
302 - LEE'S LANDING,28,0,0,168,0,0,26,0,173,0,108,1,0,44,77,0,
401 - POWHATAN COURTHOUSE,58,1,1,350,0,1,48,0,297,0,249,2,0,86,88,0,
402 - MT ZION ,32,0,0,115,1,0,13,0,85,0,84,0,0,29,59,0,
501 - SMITH CROSS ROADS,19,2,1,173,0,1,12,0,81,0,95,2,0,41,204,0,
502 - PINEVILLE,13,0,0,81,0,0,14,0,73,1,53,0,1,29,112,0,
503 - TOBACCOVILLE,11,0,0,102,0,0,8,0,42,0,60,0,1,19,22,0,
101 - FARMVILLE,12,0,1,114,2,0,22,0,91,0,44,0,0,78,139,3,
201 - LOCKETT,16,0,1,170,2,0,23,0,100,0,57,0,1,49,209,1,
301 - LEIGH,7,0,0,93,1,0,6,0,31,0,20,0,0,28,144,3,
302 - MT PLEASANT,10,0,0,38,0,0,3,1,19,0,10,0,0,19,94,0,
401 - HAMPDEN,5,0,0,110,0,0,10,0,71,0,33,2,0,48,165,1,
501 - DARLINGTON HTS,14,0,1,74,0,0,4,0,51,0,29,1,0,20,54,1,
502 - BUFFALO HTS,7,0,0,39,0,0,1,0,35,1,29,0,0,23,27,0,
601 - PROSPECT,24,0,0,99,1,2,11,0,69,0,58,0,1,38,232,4,
701 - WEST END,18,0,1,90,0,0,37,0,115,0,29,1,0,74,166,0,
801 - CENTER,1,0,0,16,0,1,5,0,23,0,9,0,0,34,115,2,
101 - RICHARD BLAND,10,0,1,146,2,1,12,1,95,0,40,0,0,31,115,0,
102 - TEMPLETON,59,0,0,414,0,1,18,0,161,0,178,0,0,51,207,0,
103 - UNION BRANCH,19,0,2,204,0,0,9,0,109,0,68,0,0,61,278,3,
104 - RIVES,0,0,0,1,0,0,1,0,1,0,2,0,0,10,4,0,
105 - HARRISON,11,0,0,102,0,0,2,0,43,0,18,0,0,19,41,0,
201 - BLAND,42,0,0,317,1,0,27,0,177,0,148,0,0,90,250,2,
202 - BLACK WATER,22,0,0,218,2,0,4,0,88,0,107,1,0,42,172,0,
203 - BRANDON,14,0,0,94,0,0,5,0,43,1,48,1,0,26,77,0,
204 - COURTS BLDG,30,0,0,190,0,1,11,0,99,1,85,2,0,100,335,2,
205 - JEFFERSON PARK,15,0,0,84,0,0,3,0,41,0,39,1,0,71,265,0,
101 - BRENTSVILLE,49,1,0,291,3,0,73,1,189,2,177,2,0,105,121,0,
102 - CEDAR POINT,37,1,1,302,6,0,101,1,395,1,219,6,0,208,349,3,
103 - GLENKIRK,38,2,0,259,3,2,66,0,247,1,95,2,1,169,199,4,
104 - NOKESVILLE,66,1,1,269,0,2,52,0,244,0,123,9,0,130,152,2,
105 - LIMESTONE,49,0,1,268,4,0,78,0,296,0,163,0,0,199,315,3,
106 - WESTGATE,12,1,0,81,3,0,15,0,61,0,38,2,0,141,210,3,
107 - MARSTELLER,74,2,0,314,4,2,77,1,374,2,137,2,1,232,418,9,
108 - VICTORY,44,0,2,229,5,1,82,2,345,0,153,2,1,219,325,1,
109 - PINEY BRANCH,27,0,0,176,1,0,39,0,187,1,82,3,0,199,251,3,
110 - BUCKLAND MILLS,14,0,0,84,0,0,30,0,66,0,27,0,0,25,66,0,
111 - BRISTOW RUN,51,0,1,320,2,0,91,0,412,1,208,4,0,287,371,7,
112 - BURKE-NICKENS,0,0,0,19,0,0,1,0,6,0,3,0,0,5,8,0,
201 - SAUNDERS,22,1,0,96,0,0,21,0,99,1,64,1,0,159,343,1,
202 - MARSHALL,52,2,0,281,5,0,102,0,301,0,169,2,1,188,274,4,
203 - BENNETT,47,1,2,246,3,0,52,0,283,2,166,0,1,198,273,1,
204 - ELLIS,25,0,1,162,1,0,28,0,101,0,86,1,0,148,202,2,
205 - BUCKHALL,46,0,0,199,1,1,70,0,197,0,143,4,0,152,236,0,
206 - COLES,40,1,1,217,1,0,60,0,194,1,93,4,0,140,183,4,
207 - SPRIGGS,32,0,1,196,1,0,63,0,241,0,117,2,0,225,433,4,
208 - HYLTON,27,0,1,218,4,0,63,1,167,1,105,1,0,81,153,4,
209 - INDEPENDENT HILL,37,0,0,218,1,0,56,0,156,2,136,1,0,102,99,1,
210 - PENN,1,0,0,16,0,0,6,0,9,0,7,0,0,10,19,0,
211 - SIGNAL HILL,18,0,0,171,3,1,36,0,135,1,116,3,0,105,157,2,
212 - YORKSHIRE,41,0,0,220,5,1,15,0,114,0,94,0,0,237,283,5,
213 - SARATOGA,9,0,0,89,0,0,20,0,84,0,26,3,0,119,213,2,
214 - LUCASVILLE,30,0,0,184,2,0,23,0,130,0,96,1,0,97,103,4,
215 - ROSA PARKS,31,0,0,105,2,0,27,0,121,1,72,0,0,161,353,6,
301 - DUMFRIES,13,0,0,89,1,0,14,0,55,1,34,1,0,127,296,5,
302 - POTOMAC,14,0,0,96,0,0,12,0,111,1,39,1,0,213,526,1,
303 - GRAHAM PARK,9,0,0,59,0,0,2,0,33,0,22,0,0,92,190,2,
304 - QUANTICO,9,0,0,30,0,0,5,0,30,0,12,0,0,18,21,2,
305 - PATTIE,35,2,0,182,3,0,76,1,254,1,103,0,0,189,272,3,
306 - WASHINGTON-REID,27,0,0,247,3,0,109,0,213,4,93,0,0,145,451,2,
307 - HENDERSON,39,0,1,164,1,0,83,0,242,0,114,1,0,171,292,3,
308 - MONTCLAIR,17,0,0,112,4,0,69,0,184,1,80,1,0,108,163,2,
309 - ASHLAND ,25,0,1,165,2,0,63,0,196,0,68,3,0,116,249,2,
310 - FOREST PARK,35,1,0,97,1,0,42,0,125,0,53,1,0,141,303,2,
311 - SWANS CREEK,21,0,0,142,1,0,31,0,149,1,79,1,0,199,581,0,
312 - TRIANGLE ,4,0,0,35,1,0,3,0,20,0,6,0,0,44,80,2,
313 - CARDINAL,29,0,0,92,1,0,31,0,114,1,51,0,0,107,260,7,
314 - CABIN BRANCH,14,0,1,124,0,0,44,0,165,0,77,1,0,128,257,0,
401 - EVERGREEN,50,0,0,303,2,0,57,0,231,1,180,3,0,180,162,2,
402 - BATTLEFIELD,47,0,0,292,1,0,107,2,314,0,183,6,0,128,207,3,
403 - BULL RUN,38,0,1,161,0,0,55,0,194,0,100,2,0,129,228,1,
404 - BEN LOMOND,26,1,0,92,2,1,22,0,103,2,65,4,0,217,229,3,
405 - STONEWALL,29,0,0,139,1,0,23,0,122,2,85,2,0,205,309,2,
406 - ALVEY,28,1,1,167,1,0,102,0,186,0,52,1,0,48,199,1,
407 - HERITAGE HUNT,52,2,2,439,4,0,181,1,398,2,123,3,0,107,478,2,
408 - SUDLEY,38,0,1,175,1,0,26,0,95,2,70,2,0,107,170,4,
409 - HAYMARKET,44,1,1,204,2,0,36,0,205,0,91,1,0,165,233,2,
410 - MOUNTAIN VIEW,34,1,0,381,3,0,85,0,320,1,121,3,0,133,290,7,
411 - MULLEN,24,1,0,71,0,0,16,0,83,0,47,2,0,161,256,3,
412 - CATHARPIN,36,0,1,224,3,0,47,0,165,2,113,0,1,69,128,2,
413 - REAGAN,43,0,0,398,3,0,86,0,335,0,130,3,0,163,247,1,
501 - LAKE RIDGE,19,0,0,138,1,0,61,0,199,0,91,1,0,180,307,2,
502 - OCCOQUAN,11,0,1,114,3,0,37,0,96,0,38,3,0,109,168,0,
503 - OLD BRIDGE,15,0,1,92,0,0,29,0,107,2,38,2,0,158,272,1,
504 - ROCKLEDGE,41,1,0,135,1,0,64,0,148,0,57,0,0,138,266,1,
505 - MOHICAN,39,1,0,175,4,0,76,0,265,1,85,1,0,199,306,3,
506 - BETHEL,42,0,1,201,2,0,62,0,221,2,119,2,1,225,427,5,
507 - CHINN,21,1,0,153,2,0,47,0,187,1,68,1,0,165,253,3,
508 - SPRINGWOODS,10,0,0,67,3,0,30,0,124,2,40,1,0,136,248,1,
509 - MC COART,31,0,0,290,5,0,113,1,241,1,142,2,0,199,319,3,
510 - YATES FORD,46,0,0,175,3,0,61,1,160,1,104,1,0,103,157,1,
511 - WESTRIDGE,20,2,0,188,1,0,72,1,228,4,103,2,0,161,341,1,
512 - YORK,16,0,0,72,1,0,18,0,85,1,38,0,0,200,399,3,
513 - LYNNWOOD,26,0,0,154,2,0,110,0,336,2,139,1,0,193,252,4,
514 - ANTIETAM,30,1,0,176,2,0,94,0,235,0,70,4,0,261,377,5,
601 - DALE,11,0,0,62,1,0,9,0,52,0,33,0,0,141,294,3,
602 - BEVILLE,29,0,0,135,2,0,31,0,129,0,104,1,0,236,549,2,
603 - GODWIN,6,0,1,50,1,0,8,0,65,1,24,1,0,116,290,1,
604 - GIDEON,10,0,0,86,3,0,16,0,75,1,43,2,0,133,300,3,
605 - MINNIEVILLE,17,0,1,124,0,1,30,0,102,1,50,2,0,162,307,4,
606 - BEL AIR,19,2,0,137,0,0,21,1,87,1,52,1,0,160,303,3,
607 - KERRYDALE,31,1,0,112,2,0,13,0,111,1,71,2,0,189,414,3,
608 - ENTERPRISE,15,0,0,129,0,0,16,0,89,0,56,3,0,177,343,2,
609 - KING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
610 - FITZGERALD,23,1,0,102,1,0,32,1,103,0,52,6,0,168,396,2,
611 - NEABSCO,19,0,1,77,2,0,11,0,54,0,28,2,0,133,230,4,
701 - BELMONT,19,0,0,162,1,0,58,0,139,1,68,1,0,137,302,2,
702 - LIBRARY,13,0,0,74,2,0,27,1,112,2,29,2,0,147,359,3,
703 - LYNN,11,0,0,36,0,0,3,0,34,0,21,1,1,108,201,2,
704 - PORTER,11,0,0,45,1,0,13,0,47,0,22,1,1,139,299,3,
705 - POTOMAC VIEW,9,0,0,125,1,0,15,0,69,0,43,1,1,80,131,1,
706 - RIPPON,18,1,0,155,1,1,34,0,110,2,59,0,0,208,334,2,
707 - KILBY,7,1,0,89,1,2,6,0,51,0,35,0,0,140,250,3,
708 - RIVER OAKS,8,0,0,68,3,0,20,0,84,0,43,0,0,151,408,4,
709 - FREEDOM,10,0,0,54,0,1,11,0,79,0,36,0,0,148,382,5,
710 - POWELLS CREEK,8,0,0,41,0,0,10,0,51,0,15,0,0,141,343,4,
711 - GRAYSON,11,0,0,108,2,0,7,0,70,2,40,0,0,198,334,2,
712 - LEESYLVANIA,24,0,0,133,3,0,45,1,148,1,87,1,0,161,362,2,
101 - BELSPRING,23,0,0,83,0,0,7,0,34,0,37,0,0,30,45,0,
102 - NEW RIVER,37,0,0,238,3,1,36,0,129,1,76,3,0,117,140,2,
103 - WEST CLOYD,19,0,1,168,0,0,5,0,46,1,43,0,0,25,58,1,
201 - DRAPER,30,0,0,194,1,1,16,0,87,1,54,0,0,30,42,1,
202 - SOUTH PULASKI,0,0,0,34,1,0,1,0,6,1,10,0,0,10,18,0,
203 - NEWBERN,42,2,1,228,4,1,18,0,102,1,72,1,0,66,99,0,
301 - DUBLIN,39,1,0,246,0,0,27,0,117,0,74,1,0,38,82,1,
302 - HIWASSEE,4,0,0,60,0,0,2,0,15,1,11,0,0,7,18,1,
304 - SNOWVILLE,23,0,0,162,0,1,9,0,50,1,37,1,0,26,43,0,
401 - MASSIE,46,0,0,264,0,0,24,0,114,3,117,0,0,75,119,0,
402 - WALKER,17,0,0,158,0,0,3,0,45,0,19,0,0,22,22,0,
501 - ROBINSON,51,0,0,271,2,0,20,0,112,0,81,1,0,121,140,3,
101 - WASHINGTON,25,0,1,111,1,0,28,1,73,0,48,1,0,70,86,0,
201 - AMISSVILLE,35,0,0,123,1,0,18,0,73,0,64,2,0,55,78,1,
301 - SPERRYVILLE,13,1,0,86,2,0,19,0,46,0,33,1,1,98,82,1,
401 - SCRABBLE,18,0,0,90,1,0,12,0,37,1,61,0,1,70,59,1,
501 - CHESTER GAP,13,1,0,63,0,1,7,0,29,0,30,1,0,30,17,0,
502 - FLINT HILL,8,0,0,63,3,0,11,1,38,1,22,0,0,67,54,0,
101 - CATAWBA,15,0,0,81,1,0,9,0,42,0,53,0,0,27,28,0,
102 - MASON VALLEY,16,1,0,83,0,0,12,0,35,1,60,0,0,20,27,1,
103 - GLENVAR,38,0,0,197,1,0,12,1,118,4,112,2,0,67,77,1,
104 - NORTHSIDE,22,0,1,118,1,0,24,0,94,1,81,2,0,64,92,0,
105 - PETERS CREEK,69,0,0,250,1,0,28,0,186,0,164,1,0,134,180,1,
106 - GREEN HILL,51,0,0,275,0,0,34,0,196,2,161,2,0,89,130,2,
107 - BENNETT SPRINGS,26,0,0,106,0,0,9,0,55,0,85,1,0,40,37,2,
108 - WILDWOOD,28,1,0,138,1,0,23,0,90,1,93,0,0,64,51,1,
201 - PLANTATION,28,0,2,154,0,0,21,0,144,1,101,1,0,71,100,0,
202 - BURLINGTON,18,0,0,89,0,0,7,0,63,0,75,1,0,46,71,0,
203 - MOUNTAIN VIEW,57,0,1,266,0,0,37,0,208,3,172,2,0,89,146,1,
204 - BOTETOURT SPRINGS,44,0,0,179,0,0,40,0,161,4,133,0,0,93,128,3,
205 - ORCHARDS,77,1,2,287,3,0,71,0,265,0,242,0,0,125,162,2,
206 - HOLLINS,23,1,0,88,1,1,10,0,61,0,41,1,0,73,52,1,
301 - BENT MOUNTAIN,23,1,0,69,1,0,18,0,41,1,49,0,0,31,32,0,
302 - POAGES MILL,63,1,0,272,2,1,76,0,278,2,225,5,0,121,134,2,
303 - WINDSOR HILLS,32,1,0,145,3,0,30,0,143,0,98,0,0,91,125,2,
304 - OAK GROVE,51,0,0,263,3,0,99,0,317,0,172,3,0,128,189,0,
305 - CASTLE ROCK,44,1,3,266,0,2,100,1,392,0,198,3,2,164,203,1,
306 - GARST MILL,18,0,0,119,2,0,34,0,89,0,61,2,0,92,104,3,
