County,Bush_Jeb,Carson_Ben,Christie_Chris,Cruz_Ted,Fiorina_Carly,Graham_Lindsey,Gray_Elizabeth,Huckabee_Mike,Kasich_John,Paul_Rand,Rubio_Marco,Santorum_Rick,Trump_Donald,Clinton_Hillary,De La Fuente_Rocky,Hawes_Calvis,Judd_Keith,Locke_Star,O'Malley_Martin,Sanders_Bernie,Wilson_Willie
Wharton,92,217,7,"3,229",136,1,4,7,154,22,817,3,"1,963",961,10,5,1,4,9,224,10
Wheeler,14,101,2,781,1,0,3,9,44,2,141,3,526,37,0,1,1,0,0,23,0
Wichita,207,924,18,"7,009",14,2,2,34,498,31,"2,659",9,"4,183","1,958",9,3,7,5,18,"1,524",6
Wilbarger,54,171,4,923,6,4,5,13,78,4,332,0,729,136,2,0,3,0,2,75,3
Willacy,2,8,8,122,0,0,0,1,6,0,67,0,121,"2,081",117,8,38,10,41,660,16
Williamson,869,"2,762",110,"23,917",135,36,"2,404",132,"3,811",354,"14,737",52,"17,345","16,396",49,12,20,18,67,"14,554",25
Wilson,68,314,15,"4,285",6,9,4,10,159,14,999,7,"2,388","1,282",12,0,0,4,7,481,8
Winkler,36,73,3,474,1,1,3,2,9,3,167,2,403,30,2,0,0,0,0,11,0
Wise,95,493,7,"5,514",2,11,4,18,192,23,"1,146",4,"3,488",751,4,1,5,5,7,558,5
Wood,88,451,18,"5,239",14,4,3,15,275,26,"1,250",2,"3,382",663,1,2,4,3,6,285,1
Yoakum,44,121,1,685,0,3,2,4,24,1,223,0,402,9,1,1,0,0,0,10,0
Young,53,210,3,"1,952",6,1,0,14,121,8,516,3,"1,258",201,4,0,1,1,2,132,1
Zapata,1,4,0,32,0,0,0,1,0,1,11,0,34,"1,973",140,14,19,9,27,685,39
Zavala,0,0,0,23,0,0,0,0,0,0,4,0,10,"1,557",67,7,6,10,26,373,16
