County,Sanders_Bernie,Clinton_Hillary,Cohen_Larry,O'Malley_Martin,De La Fuente_Rocky,Wilson_Willie,Carson_Ben,Christie_Chris,Fiorina_Carly,Trump_Donald,Bush_Jeb,Kasich_John,Huckabee_Mike,Rubio_Marco,Paul_Rand,Santorum_Rick,Cruz_Ted
Sangamon,10365,9255,20,41,11,30,372,90,58,11930,407,7316,69,2556,142,26,12261
Schuyler,293,368,3,5,1,6,16,8,2,697,17,212,7,113,9,2,486
Scott,161,150,3,2,2,4,12,4,1,510,13,120,5,79,6,1,378
Shelby,940,782,17,17,4,14,50,9,4,1936,36,467,15,246,19,4,2069
St. Clair,15565,20987,59,130,49,80,245,52,24,11650,162,3584,52,2093,83,23,10534
Stark,215,197,1,1,0,4,9,3,2,397,11,214,2,73,7,1,448
Stephenson,1899,1953,8,14,5,14,126,35,14,2853,106,1556,27,689,42,8,3038
Tazewell,7154,5867,23,43,15,27,262,47,26,8442,160,4111,46,1819,76,23,12085
Union,1152,921,10,24,7,11,20,10,1,1332,17,292,7,165,10,1,1207
Vermilion,2781,3017,17,48,12,20,161,41,13,5021,141,1290,40,793,31,6,3732
Wabash,343,356,1,10,0,4,27,5,1,977,24,285,7,194,10,2,772
Warren,741,726,3,5,2,4,42,10,4,1018,52,692,10,231,5,5,985
Washington,595,409,6,8,3,10,25,16,1,1370,22,362,7,215,15,1,1218
Wayne,360,277,9,10,3,6,56,13,6,2075,56,421,38,193,18,4,1291
White,530,565,7,26,7,17,39,5,2,1424,42,286,14,172,9,0,799
Whiteside,3102,2895,5,18,11,5,85,13,8,2466,78,1352,30,467,17,7,2412
Will,46305,41651,110,172,51,126,482,151,62,38507,437,14831,100,6783,223,49,21363
Williamson,3902,2978,30,69,23,53,87,16,6,4929,51,1038,26,679,23,3,4009
Winnebago,16715,15065,39,62,24,42,352,67,51,13421,236,5893,77,2475,112,33,15457
Woodford,1616,1277,3,6,4,8,88,20,10,2794,78,1648,21,777,27,7,5091
