County,Clinton_Hillary,De La Fuente_Rocky,O'Malley_Martin,Sanders_Bernie,Wilson_Willie,Bush_Jeb,Carson_Ben,Christie_Chris,Cruz_Ted,Fiorina_Carly,Graham_Lindsey,Huckabee_Mike,Kasich_John,Pataki_George,Paul_Rand,Rubio_Marco,Santorum_Rick,Trump_Donald
Tishomingo,391,6,13,209,14,11,44,5,1264,2,1,24,233,1,4,165,2,1925
Tunica,904,9,18,220,17,0,1,3,89,0,0,2,20,0,0,13,0,152
Union,598,2,9,223,12,19,93,4,2125,2,6,31,320,2,8,242,6,2172
Walthall,1053,5,1,124,3,2,22,3,620,0,0,2,140,0,2,87,2,1228
Warren,3704,8,7,650,12,28,67,8,1889,1,3,13,688,0,13,404,7,3134
Washington,3546,1,8,459,4,6,29,2,654,1,0,9,338,0,3,121,1,1418
Wayne,1449,14,10,251,4,20,52,4,1307,2,1,3,122,1,3,98,4,1740
Webster,401,2,5,79,2,14,43,3,884,3,3,9,127,1,2,100,1,1193
Wilkinson,1276,2,8,69,10,5,14,3,226,1,0,1,30,1,1,22,0,367
Winston,1532,6,10,214,10,13,45,1,971,1,0,10,240,1,2,143,3,1215
Yalobusha,1220,1,8,218,5,20,21,2,613,2,2,6,116,1,3,70,4,1030
Yazoo,2360,6,4,208,11,12,24,3,869,1,1,6,218,0,1,163,1,1555
