City/Town,Clinton_Hillary,Sanders_Bernie,O'Malley_Martin,De La Fuente_Rocky,Trump_Donald,Kasich_John,Rubio_Marco,Cruz_Ted,Carson_Ben,Bush_Jeb,Christie_Chris,Paul_Rand,Fiorina_Carly,Gilmore_Jim,Huckabee_Mike,Pataki_George,Santorum_Rick
Greenfield,1142,3005,10,1,439,278,221,137,53,10,3,5,2,5,0,1,4
Groton,1017,1300,6,0,615,404,401,168,41,15,9,13,4,3,0,0,1
Groveland,459,715,7,0,677,191,158,134,34,10,0,2,2,4,1,2,0
Hadley,573,929,4,2,217,139,82,52,10,2,1,0,0,0,0,0,1
Halifax,486,738,3,0,713,168,156,125,34,15,5,4,0,0,1,1,1
Hamilton,694,841,6,2,435,382,320,134,24,16,2,6,3,0,4,1,1
Hampden,319,375,2,1,437,161,128,105,34,8,4,3,0,0,1,0,1
Hancock,51,54,0,0,42,12,14,24,8,0,1,0,0,0,0,1,0
Hanover,1139,1243,10,5,1395,434,447,263,56,11,7,7,4,2,2,1,0
Hanson,692,997,5,1,1001,205,237,194,50,23,2,5,4,1,3,0,0
Hardwick,164,283,0,2,178,42,48,36,10,4,0,2,0,0,0,0,0
Harvard,822,789,2,1,273,227,189,87,34,6,3,2,0,0,1,0,1
Harwich,1236,1428,9,1,944,380,319,168,68,33,5,6,5,2,0,2,1
Hatfield,379,577,1,2,158,70,33,26,12,3,0,0,0,2,0,1,0
Haverhill,4385,5479,40,11,3933,869,959,705,175,77,15,26,22,11,6,8,4
Hawley,24,52,1,0,16,9,13,3,2,1,1,0,0,0,0,0,0
Heath,44,136,0,0,41,8,21,16,9,0,0,1,1,0,0,0,0
Hingham,2767,1826,17,7,1394,1172,945,285,77,66,15,7,7,2,1,10,2
Hinsdale,184,226,2,0,108,28,27,21,12,4,2,0,0,1,0,0,0
Holbrook,914,910,13,0,792,133,162,127,24,7,6,2,1,1,3,0,0
Holden,1492,1918,11,7,1242,585,609,434,100,31,11,3,4,2,5,3,3
Holland,106,194,4,0,160,51,51,53,15,0,0,2,1,1,0,0,0
Holliston,1501,1592,4,4,734,482,468,160,48,24,5,2,5,2,2,3,0
Holyoke,3171,3122,40,18,867,324,268,243,76,16,7,7,0,5,3,4,0
Hopedale,480,584,3,3,367,127,177,80,8,10,7,4,8,1,1,1,0
Hopkinton,1437,1249,9,5,749,571,601,191,42,10,10,4,3,1,3,2,2
Hubbardston,263,460,1,0,378,76,96,153,44,6,3,2,1,3,2,0,0
Hudson,1765,1845,16,3,1137,421,400,231,67,21,8,7,7,2,2,0,4
Hull,1167,1222,10,1,724,166,180,103,21,21,5,5,7,1,1,0,0
Huntington,117,246,8,0,149,41,43,38,11,2,0,0,1,0,1,0,0
Ipswich,1381,1762,7,2,942,466,375,183,58,20,7,5,7,0,4,3,0
Kingston,921,1174,7,4,1008,289,306,207,53,16,3,4,4,1,1,0,0
Lakeville,602,835,3,2,1052,253,300,207,59,25,4,5,3,5,4,0,0
Lancaster,515,665,5,0,465,200,206,130,79,24,1,6,1,1,0,0,1
Lanesborough,245,356,0,0,133,38,43,27,13,4,3,5,1,1,0,0,1
Lawrence,6654,2592,53,19,991,147,265,177,47,30,1,7,7,1,0,3,1
Lee,515,587,1,2,133,53,71,40,18,1,1,1,0,1,0,1,1
Leicester,725,968,18,1,779,159,224,199,45,21,4,2,3,1,0,0,1
Lenox,735,640,5,3,103,88,73,38,21,4,2,1,2,1,0,0,0
Leominster,2518,2900,19,6,2280,525,725,415,155,47,12,15,7,5,9,1,2
Leverett,269,526,2,0,23,31,31,7,13,0,0,1,0,0,1,0,0
Lexington,5816,3331,16,3,979,962,771,226,69,44,7,14,4,0,3,1,3
Leyden,74,181,1,0,28,18,14,7,4,0,0,1,1,0,0,0,0
Lincoln,1142,764,3,0,174,245,180,39,17,10,1,0,1,1,0,0,1
Littleton,1017,1197,4,2,648,349,276,128,36,14,5,9,3,1,0,2,1
Longmeadow,1682,1269,10,3,860,638,478,212,46,11,1,1,3,2,4,1,0
Lowell,7454,6874,98,21,3492,686,798,496,145,102,15,36,9,15,12,9,4
Ludlow,1442,1553,18,8,1218,314,341,267,66,9,1,4,3,2,1,1,2
Lunenburg,752,1086,2,5,857,236,274,177,74,20,3,4,4,2,1,0,0
Lynn,6069,5584,56,11,2493,395,479,384,87,41,7,11,4,6,5,2,2
Lynnfield,993,864,6,4,1384,409,391,192,34,18,9,2,2,2,0,1,2
Malden,4552,4372,41,17,1688,351,418,272,75,28,10,7,4,7,4,2,2
Manchester-by-the-Sea,641,605,2,1,305,283,202,68,17,13,2,1,2,2,0,0,0
Mansfield,1688,1978,13,4,1339,647,590,269,67,33,6,10,5,3,3,1,1
Marblehead,2705,2162,12,1,1231,830,697,195,47,27,11,8,9,0,3,3,2
Marion,532,510,2,0,361,185,149,80,16,13,7,2,4,2,2,0,0
Marlborough,3028,3065,28,6,1785,651,659,366,88,49,10,18,9,5,6,5,1
Marshfield,2097,2385,19,7,2207,725,642,389,75,29,10,11,4,1,4,2,1
Mashpee,1255,1185,9,5,1226,342,370,180,71,29,8,0,5,2,3,1,0
Mattapoisett,628,709,3,1,512,248,188,94,37,9,5,6,1,1,1,1,0
Maynard,1160,1478,3,5,507,211,199,136,25,11,3,5,6,1,3,1,0
Medfield,1255,1143,11,1,700,669,583,162,35,17,6,6,3,0,1,2,0
Medford,6785,6661,59,22,2346,689,831,383,80,43,17,14,10,5,5,1,1
Medway,1088,1203,13,3,855,373,406,165,43,18,9,5,3,1,1,0,0
Melrose,3642,3265,27,9,1650,788,614,287,79,45,14,8,10,5,2,1,3
Mendon,399,483,0,4,500,142,189,83,32,12,4,4,2,1,1,1,0
Merrimac,473,779,8,2,547,183,165,86,33,8,4,6,0,1,1,1,0
Methuen,3409,3413,42,15,3194,576,745,455,108,50,9,5,12,4,4,0,2
Middleborough,1320,1799,16,5,2028,370,449,362,106,38,7,15,7,3,3,2,2
Middlefield,55,74,0,0,29,10,7,8,0,1,0,1,0,0,0,1,0
Middleton,656,648,7,6,901,242,223,110,26,8,1,5,4,0,2,1,0
Milford,2118,2088,19,3,1299,415,535,250,69,33,11,6,1,2,3,2,1
Millbury,856,1028,10,3,842,215,257,208,44,17,4,3,4,2,4,0,0
Millis,822,874,6,2,634,244,231,115,28,7,1,0,3,2,1,3,0
Millville,123,234,2,0,203,35,62,44,11,3,0,3,0,2,0,1,0
Milton,3887,3215,36,16,1191,738,612,236,45,31,6,8,6,5,1,3,1
Monroe,5,11,0,0,3,2,6,4,1,0,0,0,0,0,0,0,0
Monson,466,853,9,1,553,153,147,157,37,7,3,0,1,2,3,1,0
Montague,650,1620,19,2,252,119,92,70,25,5,4,0,1,1,4,3,0
Monterey,115,148,1,1,18,8,16,6,6,0,0,0,1,0,0,0,0
Montgomery,58,94,1,0,75,33,25,22,7,1,0,0,0,0,0,0,0
Mount Washington,17,35,0,0,3,4,3,0,0,1,0,0,0,0,0,0,0
Nahant,498,467,9,1,280,91,51,30,16,4,1,1,3,0,0,0,0
Nantucket,979,1060,5,1,484,149,176,100,27,18,7,5,0,1,1,1,0
Natick,4609,3669,27,11,1392,974,897,309,82,38,10,5,10,7,2,2,4
Needham,4956,2653,14,9,1115,1198,982,239,58,32,6,8,11,2,1,3,1
New Ashford,25,34,0,0,11,7,6,1,2,0,0,0,0,0,0,1,0
New Bedford,6954,5676,63,14,2171,342,530,418,148,26,14,23,4,12,9,6,4
New Braintree,56,108,2,0,81,19,20,26,8,4,0,1,0,0,0,0,0
New Marlborough,160,159,1,0,39,24,22,8,4,1,0,1,0,21,0,1,0
New Salem,73,194,0,0,48,18,19,14,10,1,0,1,0,0,0,0,0
Newbury,705,862,2,1,599,259,232,111,30,17,4,4,3,0,1,0,1
Newburyport,2257,2357,7,5,972,537,454,151,49,32,8,4,6,0,5,0,1
Newton,14721,8589,45,11,2199,1789,1619,450,72,47,23,18,11,7,7,5,0
Norfolk,760,958,6,2,710,420,363,153,38,15,5,7,3,3,5,2,0
N. Adams,953,1335,4,1,275,77,106,76,19,5,1,2,0,1,2,2,1
N. Andover,2318,2180,19,9,2049,890,907,382,76,50,8,6,13,1,2,1,1
N. Attleborough,1638,2070,18,6,1800,606,695,430,107,30,11,13,6,4,2,1,3
N. Brookfield,209,471,3,0,386,76,107,104,41,8,1,5,4,1,1,1,1
N. Reading,1185,1332,7,5,1324,440,498,252,37,20,11,4,3,1,3,1,1
Northampton,3870,6524,22,6,436,344,210,114,21,9,3,5,4,1,3,0,0
Northborough,1387,1580,8,4,904,523,482,241,48,30,8,2,5,0,6,13,2
Northbridge,806,1069,10,2,945,320,406,263,89,22,11,7,6,2,2,0,0
Northfield,187,549,1,0,123,74,56,40,19,2,1,1,0,1,0,0,1
Norton,1188,1414,8,3,1212,321,387,222,65,19,9,1,4,4,1,1,0
Norwell,908,936,11,3,876,452,374,156,23,21,6,5,4,1,2,0,0
Norwood,2885,2791,50,7,1819,597,567,324,60,44,17,7,10,5,7,4,2
Oak Bluffs,582,639,4,0,224,53,61,35,14,10,1,1,1,1,2,0,0
Oakham,101,226,1,0,203,45,32,60,9,8,1,1,1,0,1,0,0
Orange,357,744,4,1,399,99,115,90,38,7,3,5,1,1,3,1,1
Orleans,775,863,6,1,359,225,240,78,64,15,5,2,2,0,1,1,1
Otis,113,165,0,1,87,29,32,31,8,2,1,1,0,0,0,0,0
Oxford,726,958,15,3,933,175,246,222,57,18,2,4,1,0,2,2,0
Palmer,684,934,7,3,702,176,188,156,44,4,1,5,1,3,2,0,0
Paxton,341,409,5,0,348,145,129,99,25,7,0,0,1,0,0,0,0
Peabody,4986,4534,51,11,4222,870,921,509,148,71,18,20,13,3,7,6,4
